ID,Bearbeiter 1,Bearbeiter 2,Title,Authors,DOI,Jahr,Track,Keywords,Research question,Goal of the paper,Motivation of the Paper,Outcome of the Paper,Type of inquiry 1,Type of inquiry 2,Type of Theory,Emphasis,Formal concepts,Algorithms,Hypothesis,Independent Variables,Dependent Variables,Type of Artefact 1,Research Method 1,Research Method 2,Research Method 3,Research Method 4,Type of data,Total participants count,Students Count,Practitioners Count,Data accessibility,Data Metadata,Material accessibility,Evaluation Method 1,Evaluation Method 2,Evaluation Method 3,Evaluation Method 4,Threats to Validity 1,Threats to Validity 2,Threats to Validity 3,Threats to Validity 4,Existence,Availability,Type of Artefact 2,Research Method 1.1,Research Method 2.1,Research Method 3.1,Research Method 4.1,Type of data.1,Total participants count.1,Students Count.1,Practitioners Count.1,Data format,Data accessibility.1,Data Metadata.1,Material accessibility.1,Data License.1,Evaluation Method 1.1,Evaluation Method 2.1,Evaluation Method 3.1,Evaluation Method 4.1,Threats to Validity 1.1,Threats to Validity 2.1,Threats to Validity 3.1,Threats to Validity 4.1,Existence.1,Availability.1,Comments
11.0,FS,MH,"Inferring Missing Entity Identifiers
from Context Using Event Knowledge
Graphs","Ava Swevels, Remco Dijkman,  Dirk Fahland",https://doi.org/10.1007/978-3-031-41620-0_11,2023.0,Engineering,"Log repair, Event Knowledge Graph, Modeling, Inference Rule, Contextual Information, Physical Constraints",not existing,We aim to infer missing case identifiers of events by considering the physical constraints of the process which previous work has failed to do.,"However, real-life systems might fail in recording the (correct) case identifiers the system has operated on, resulting in incomplete event data.","In this paper, we studied the problem of inferring missing entity identifiers in the generalized setting of multi-entity processes (e.g., with batching) that are executed in a physical environment.",Information systems engineering,,Formal theory,Both,Yes,No,No,,,Method,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,No,,No,,Motivating Example,Verification,,,Ecological Validity,,,,Yes,Yes,
12.0,MW,MH,"Process Channels: A New Layer
for Process Enactment Based
on Blockchain State Channels","Fabian Stiehle, Ingo Weber",https://doi.org/10.1007/978-3-031-41620-0_12,2023.0,Engineering,"Blockchain, Business Process Enactment, Choreographies, Interorganisational processes, State Channels",not existing,"In this paper, we propose to address challenges in inter-organizational process enactment by moving to a layer two approach: blockchain-based state channels. With this approach, we aim to reduce the on-chain footprint.","For the enactment of inter-organizational processes,
blockchain can guarantee the enforcement of process models and the integrity of execution traces. However, existing solutions come with downsides regarding throughput scalability, latency, and suboptimal tradeoffs between confidentiality and transparency.","Moving communication and state into channels may, in the future, prove useful to achieve lower latency and improved conﬁdentiality",Information systems engineering,,Formal theory,Both,No,No,No,,,Method,Design (Science/Engineering),,,,,,,,No,,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Undefined,,,,,"Yes, in the paper",,No,,Benchmark,,,,None,,,,Yes,Yes,
13.0,MW,MH,"Action-Evolution Petri Nets: A
Framework for Modeling and Solving
Dynamic Task Assignment Problems","Riccardo Lo Bianco, Remco Dijkman, Wim Nuijten, Willem van Jaarsveld ",https://doi.org/10.1007/978-3-031-41620-0_13,2023.0,Engineering,"Petri Nets, Dynamic Assignment Problem, Business Process Optimization, Markov Decision Processes, Reinforcement Learning",not existing,"To address this gap, this paper pro- poses Action-Evolution Petri Nets (A-E PN) as a framework for mod- eling and solving dynamic task assignment problems.","Also, frameworks exist for many mathematical optimization techniques, such as linear programming and constraint programming, where problems can be modeled and solved without additional eﬀort. However, no such framework exists for dynamic task assignment problems.","This paper presented a framework for modeling and solving dynamic task assignment problems. To this end, it introduced a new variant of Petri Nets, namely Action-Evolution Petri Nets (A-E PN), to provide a mathematically sound modeling tool.",Information systems engineering,Formal science,Formal theory,Theory,Yes,No,No,,,Framework,Design (Science/Engineering),,,,Mathematical formulae,,,,"Yes, in the paper",,"Yes, in the paper",Verification,Motivating Example,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,,,,,,No,,"Yes, in the paper",,Benchmark,,,,None,,,,Yes,Yes,3rd Artefact Taxonomy; 4th Artefact Language
14.0,BS,MH,Context-Based Activity Label-Splitting,"Sebastiaan J. van Zelst, Jonas Tai, Moritz Langenberg, Xixi Lu ",https://doi.org/10.1007/978-3-031-41620-0_14,2023.0,Engineering,"Process mining, Process discovery, Label-splitting",not existing,"Therefore, this paper proposes a novel label-splitting preprocessing technique that overcomes these issues.","Yet, the state-of-the-art label-splitting algorithm adopts a trace-level-mapping strategy, yielding inferior results in the presence of loop constructs and infeasible computation time. ",Our experiments confirm that our newly proposed label-splitting algorithm outperforms the state-of-the-art.,Information systems engineering,,Formal theory,Artefact,Yes,Yes,No,,,Framework,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, via reference",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Both,,,,,"Yes, via reference",,"Yes, in the paper",,Benchmark,Technical Experiment,,,None,,,,Yes,Yes,
15.0,BS,MH,"Verifying Resource Compliance
Requirements from Natural Language
Text over Event Logs","Henryk Mustroph, Marisol Barrientos, Karolin Winter, Stefanie Rinderle-Ma ",https://doi.org/10.1007/978-3-031-41620-0_15,2023.0,Engineering,"Compliance Requirements Verification, Resource Mining,  Natural Language Text, Process Descriptions, Event Logs",not existing,"To this end, this paper presents an approach that copes with the verification of resource compliance requirements, e.g., which resource shall perform which activity, in natural language over event logs.","Existing approaches assume that requirements are available in formalised form, without automatic extraction and formalisation of verification, despite the constantly growing amount of regulatory documents and their frequent updates.","In this paper, an approach for resource compliance requirements verification over event logs has been presented.",Information systems engineering,,Formal theory,Artefact,No,Yes,No,,,Framework,Literature Analysis,Design (Science/Engineering),Illustrative Example,,Undefined,,,,"Yes, in the paper",No,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Both,,,,XES,"Yes, in the paper",Yes,"Yes, in the paper",CC BY-NC,Benchmark,Technical Experiment,,,Repeatability,Internal Validity,Confirmability,,Yes,Yes,
16.0,BS,MH,"From Text to Performance Measurement:
Automatically Computing Process
Performance Using Textual Descriptions
and Event Logs","Manuel Resinas, Adela del-Río-Ortega, Han van der Aa",https://doi.org/10.1007/978-3-031-41620-0_16,2023.0,Engineering,"Process performance measurement, process mining, natural language processing, matching",not existing,"Recognizing this, we bridge this gap by proposing an approach for the measurement of process performance based on textual descriptions and event logs, which combines state-of-the-art natural language processing techniques with matching strategies that are tailored to the task at hand.","An inhibitor of effective performance analysis is that establishing PPI definitions measurable from event logs is highly complex, because it requires process analytical expertise, as well as in-depth knowledge about the structure and contents of the available event data. Given that managers typically do not have such knowledge, this means that those stakeholders that are generally most interested in measuring process performance cannot do so in a convenient manner.","n this paper, we presented a first approach to calculate process performance indicators against a given event log based on textual descriptions. Our work builds on a fine-tuned language model to extract relevant entities, tailored techniques to match these entities to the contents of an event log, as well as completion heuristics to deal with incomplete descriptions provided by users. ",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Method,Design (Science/Engineering),Illustrative Example,,,Real-world data,,,,"Yes, in the paper",,"Yes, in the paper",Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,"Yes, in the paper",,Technical Experiment,,,,None,,,,Yes,Yes,1st Artefact has also mathematical definitions
17.0,BS,,"Agent Miner: An Algorithm
for Discovering Agent Systems
from Event Data","Andrei Tour, Artem Polyvyanyy, Anna Kalenkova, Arik Senderovich ",https://doi.org/10.1007/978-3-031-41620-0_17,2023.0,Engineering,not existing,not existing,"This paper presents and evaluates Agent Miner, an algorithm for discovering models of agents and their interactions from event data composing the system that has executed the processes which generated the input data.",Process discovery studies ways to use event data generated by business processes and recorded by IT systems to construct models that describe the processes. Existing discovery algorithms are predominantly concerned with constructing process models that represent the control flow of the processes.,"This paper presents and evaluates Agent Miner, a divide-and-conquer algorithm for discovering models of agents and their interactions from event data. [...] The constructed agent and interaction models provide a new, modular perspective on the data, suitable for analyzing process participants and their interactions. ",Information systems engineering,,Formal theory,Both,Yes,No,No,,,Technique,Design (Science/Engineering),Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,"Yes, in the paper",Verification,,,,None,,,,Yes,No,Prototype,None,,,,Real-world data,,,,,"Yes, in the paper",,No,,Benchmark,,,,None,,,,Yes,No,1st Artefact has undefined data for the example
18.0,BS,,"Interactive Multi-interest Process Pattern
Discovery","Mozhgan Vazifehdoostirani, Laura Genga, Xixi Lu, Rob Verhoeven, Hanneke van Laarhoven, Remco Dijkman  ",https://doi.org/10.1007/978-3-031-41620-0_18,2023.0,Engineering,"Process Pattern Discovery, Multi-interest Pattern Detection, Process Mining, Outcome-Oriented Process Patterns",not existing,"We present an interactive multi-interest-driven framework for process pattern discovery aimed at identifying patterns that are optimal according to a multi-dimensional analysis goal. The proposed approach is iterative and interactive, thus taking experts’ knowledge into account during the discovery process.","Process pattern discovery methods (PPDMs) aim at identifying patterns of interest to users. Existing PPDMs typically are unsupervised and focus on a single dimension of interest, such as discovering frequent patterns. ","The paper presented the IMPresseD framework, designed to derive interesting and easily interpretable process patterns for the end users. The framework is iterative and interactive and allows the user to select the most interesting patterns to expand further.",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Framework,Design (Science/Engineering),Illustrative Example,,Mathematical formulae,,,,,,No,,,,,None,,,,Yes,Yes,Prototype,,,,,Real-world data,,,,,"Yes, via reference",,No,,Technical Experiment,Benchmark,,,External Validity,None,,,Yes,Yes,,
19.0,BS,MS/MH,Increasing RPA Adoption: An Experiment on Countermeasures for Status Quo Bias,"Marie-E. Godefroid, Ralf Plattfaut, Björn Niehaves",https://doi.org/10.1007/978-3-031-41620-0_19,2023.0,Management,"Robotic Process Automation, Adoption, Status Quo Bias, Countermeasures",RQ1: Does SQB affect the technology acceptance of RPA? RQ2: Can more information and/or the reference to prior success stories help counter SQB regarding RPA and increase intention to use?,This study presents an online experiment to analyse two measures (success stories and additional information) to overcome a potential status quo bias towards adopting robotic process automation (RPA) in the nonprofit sector using 150 participants and two treatments.,"The expected performance of a technology and the expected effort of using the technology heavily influence adoption and use. This influence was shown in various theoretical models and empirical studies [11–13]. However, this theoretical perspective fails to explain the low adoption and use of RPA technologies in the nonprofit sector.","Firstly, we provide guidance to IT decision-makers and suppliers specialising in the NGO sector on what to consider when introducing RPA. Secondly, our insights are relevant to managers looking to improve their organisation in a general way. ",Scientific study,,Social science theory,Theory,No,No,"Yes, hypotheses","Performance expectancy, Effort expectancy, Loss aversion, Net benefits, Social norms, Control, Additional information, Success stories","Behavioral Intention to use RPA, Direct Determinants of Technology Adoption",Model,Survey,,,,Real-world data,150,,150,"Yes, via reference",,"Yes, via reference",Data Science,,,,Internal Validity,Construct Validity,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,MS,MW,"Stochastic-Aware Comparative Process
Mining in Healthcare","Tabib Ibne Mazhar, Asad Tariq, Sander J. J. Leemans, Kanika Goel, Moe T. Wynn, Andrew Staib",https://doi.org/10.1007/978-3-031-41620-0_20,2023.0,Management,"process mining, healthcare, comparative process mining",not existing,"In this paper, we take a design science approach to redefine an existing method for process comparison (PCM).","However, as we detail in Sect. 2, PCM does not consider the stochastic perspective, and is highly manual with little automated support. As such, there is no method that takes an event log file as an input and identifies cohorts as output, along with visualisations of similarities and differences between the cohorts.","In this paper, we applied a design science approach to introduce a method, the Probabilistic Process Comparison Method (P2CM), to satisfy the design objectives of (i) allowing for comparative analysis of process-based differences in cohorts of a single process, (ii) considering the stochastic perspective of behaviour, and (iii) guiding users with automated recommendations derived from data.",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Framework,Design (Science/Engineering),,,,Real-world data,,,,"Yes, in the paper",,No,Technical Experiment,,,,Confirmability,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,MS,MW,"On the Cognitive Effects of Abstraction
and Fragmentation in Modularized
Process Models","Clemens Schreiber, Amine Abbad-Andaloussi, Barbara Weber",https://doi.org/10.1007/978-3-031-41620-0_21,2023.0,Management,"Process model understandability, modularization, cognitive load theory, eye tracking",not existing,"Local tasks can benefit from abstraction as they enable information hiding, while global tasks can be impeded by fragmentation caused by the split attention effect. Following a task-centric approach, we substantiate this hypothesis by investigating the cognitive effects of abstraction and fragmentation in modularization.","Yet, most of the research and tool development in the Business Process Management (BPM) field are focused on the model artifacts themselves (i.e., the graphical representation of processes), with limited interest in the task-perspective [25], i.e., what types of tasks a process model is supposed to support.","The outcome of this work motivates the shift from artifact-centric to task-centric empirical studies, raises the need for approaches to mitigate the effect of fragmentation and explores different alternatives to achieve this goal.",Scientific study,,Social science theory,Theory,No,No,"Yes, hypotheses",locality of task (global vs. local),"model comprehension, cognitive load, search complexity, cognitive integration",Report,Lab Experiment,,,,Synthetic data,46,17.0,7,"Yes, in the paper",,"Yes, in the paper",Data Science,,,,Internal Validity,External Validity,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,BS,MS/MH,"Not Here, But There: Human Resource
Allocation Patterns","Kanika Goel, Tobias Fehrer Maximilian Röglinger, Moe T. Wynn",https://doi.org/10.1007/978-3-031-41620-0_22,2023.0,Management,"Process improvement, Allocation patterns, Human resource, BPM",How can human resources be best allocated to tasks when redesigning business processes?,This study aims to bridge this gap by offering guidance on resource-based personnel allocation in process redesign.,"Despite the importance, there is a lack of structured guidance on allocating people to tasks considering various performance considerations such as time, cost, quality and flexibility.",These patterns form a strong foundation for future research in the area of human-centred business process redesign.,Meta-analysis,Inductive study,Social science theory,Artefact,No,No,No,,,Design concept,Literature Analysis,Interviews,Illustrative Example,,Undefined,10,,10,No,,No,Interview,,,,Confirmability,Repeatability,Construct Validity,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,type of data LR
23.0,MS,,"A Novel Multi-perspective Trace
Clustering Technique for IoT-Enhanced
Processes: A Case Study in Smart
Manufacturing","Yannis Bertrand, Jochen De Weerdt, Estefanía Serral",https://doi.org/10.1007/978-3-031-41620-0_23,2023.0,Management,"Process mining, Internet of Things, Trace clustering, IoT-enhanced process mining",not existing,"In this paper, we propose TROPIC, an approach for multi-perspective trace clustering that considers three key perspectives: the control-flow perspective, the trace attribute data perspective and the time series sensor data perspective. We demonstrate the efficacy of our approach in a real-world manufacturing use case.","Such BPs are typically found in manufacturing contexts, where, for instance, temperature sensors can provide valuable insights into the storage conditions of sensitive raw materials. However, the potential of this IoT-enhanced process mining (PM) has not been fully explored.","In this paper, we presented a novel approach for multi-perspective trace clustering of manufacturing processes that considers three perspectives: control-flow, trace attributes, and TS sensor data. This approach can reveal process variants that are homogeneous across all three perspectives simultaneously.",Industrial application,Meta-analysis,Formal theory,Artefact,Yes,No,No,,,Design concept,Design (Science/Engineering),,,,Real-world data,,,,No,,No,Benchmark,Data Science,Interview,,None,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,BS/MS,MH,"The Impact of Process Complexity
on Process Performance: A Study Using
Event Log Data","Maxim Vidgof, Bastian Wurm, Jan Mendling",https://doi.org/10.1007/978-3-031-41620-0_24,2023.0,Management,"Process complexity, Process performance, Throughput time","All of this raises the question to which extent a more precise investigation of the connection between process complexity and
performance is possible.","So far, behavioral studies have measured complexity based on the perception of process stakeholders. The aim of this study is to
investigate if such a connection can be supported based on the analysis of event log data.","Furthermore, studies that measure the complexity of processes and their corresponding performance rely on perceptual measures that can cause several important validity issues.","Our models are able to explain a large share of the variance in the throughput time, reaching R-squared values of up to 0.96. Our results provide important implications for research on process complexity and process standardization.",Information systems engineering,,Formal theory,Artefact,Yes,No,No,"size, variation, distance, entropy, generic",throughput time,Method,Design (Science/Engineering),,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,No,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,"Yes, in the paper",,Data Science,,,,None,,,,Yes,No,
